17428;;тех.этаж ООУЛ 08.10.2015
17429;;тех.этаж ООУЛ 08.10.2015
17430;;тех.этаж ООУЛ 08.10.2015
17431;;тех.этаж ООУЛ 08.10.2015
17432;;тех.этаж ООУЛ 08.10.2015
17434;;тех.этаж ООУЛ 08.10.2015
17436;;тех.этаж ООУЛ 08.10.2015
17438;;тех.этаж ООУЛ 08.10.2015
17439;;тех.этаж ООУЛ 08.10.2015
17440;;тех.этаж ООУЛ 08.10.2015
17441;;тех.этаж ООУЛ 08.10.2015
17444;;тех.этаж ООУЛ 08.10.2015
17445;;тех.этаж ООУЛ 08.10.2015
17449;;тех.этаж ООУЛ 08.10.2015
17450;;тех.этаж ООУЛ 08.10.2015
17451;;тех.этаж ООУЛ 08.10.2015
17452;;тех.этаж ООУЛ 08.10.2015
17453;11547778;подвал-47В
17454;;тех.этаж ООУЛ 08.10.2015
17455;;тех.этаж ООУЛ 08.10.2015
17456;;тех.этаж ООУЛ 08.10.2015
17457;;тех.этаж ООУЛ 08.10.2015
17458;;тех.этаж ООУЛ 08.10.2015
17459;;тех.этаж ООУЛ 08.10.2015
17460;;тех.этаж ООУЛ 08.10.2015
17461;;тех.этаж ООУЛ 08.10.2015
17462;;тех.этаж ООУЛ 08.10.2015
17463;;тех.этаж ООУЛ 08.10.2015
17464;;тех.этаж ООУЛ 08.10.2015
17465;;тех.этаж ООУЛ 08.10.2015
17466;;тех.этаж ООУЛ 08.10.2015
17468;;тех.этаж ООУЛ 08.10.2015
17469;;тех.этаж ООУЛ 08.10.2015
17523;10896143;подвал-21в
17549;10896136;подвал-21в
17562;11097525;Подвал-55
17567;10896150;подвал-21в
17574;10937266;подвал-20б
17633;10937273;подвал-20б
17635;10937280;подвал-20б
17642;113124539;Подвал-46а
17658;11097532;Подвал-55
17748;10970546;Подвал-13в
17830;10864241;подвал 24в
17851;10254011;2318-30
17858;10253748;2318-30
17869;10224465;2316-10
17890;10722596;2318-113
17906;10253755;2318-30
17915;10253816;2318-30
17958;10253939;2318-30
17967;10253946;2318-30
17977;10253960;2318-30
18017;10246306;2318-33
18029;10253977;2318-30
18034;10253625;2318-30
18035;10253618;2318-30
18036;10253632;2318-30
18037;10253595;2318-30
18039;10253601;2318-30
18048;10253588;2318-30
18098;;2312-34
18120;10253540;2318-30
18146;10206041;2305-38
18165;10251140;2318-31
18185;10246498;2318-33
18186;10246504;2318-33
18188;10246412;2318-33
18189;10246429;2318-33
18190;10246382;2318-33
18191;10246399;2318-33
18192;10246405;2318-33
18193;10253472;2318-30
18202;10253441;2318-30
18213;10253335;2318-30
18276;11022381;подвал-19а
18316;10253274;2318-30
18331;10045701;2316-04
18335;10253106;2318-30
18352;;2318-20
18391;10252987;2318-30
18422;10246436;2318-33
18423;10246443;2318-33
18435;10642238;2318-44
18468;10220436;2316-11
18475;10252598;2318-30
18485;10252611;2318-30
18487;;2316-15
18488;10252604;2318-30
18508;10246283;2318-33
18509;10246320;2318-33
18510;10246351;2318-33
18511;10252499;2318-30
18543;10252543;2318-30
18548;11563389;подвал 48 Б 4 полка
18610;10246115;2318-33
18627;10252406;2318-30
18784;10252185;2318-30
18812;10840351;подвал 23в
18815;10252130;2318-30
18822;10252048;2318-30
18830;10252055;2318-30
18836;10582831;2318-42
18931;10251898;2318-30
18931;11315230;подвал-47Б
18969;;2312-34
19006;10251942;2318-30
19020;10634479;Подвал-39
19155;10251577;2318-31
19263;10251652;2318-31
19268;10250921;2318-31
19319;10251157;2318-31
19332;10251010;2318-31
19334;10251027;2318-31
19336;10250983;2318-31
19337;10250990;2318-31
19343;10251003;2318-31
19345;10250976;2318-31
19346;10250969;2318-31
19439;10251034;2318-31
19576;10250853;2318-31
19577;10250860;2318-31
19578;10250877;2318-31
19582;10250716;2318-31
19588;10250723;2318-31
19591;10250747;2318-31
19592;10250754;2318-31
19595;10248713;2318-32
19605;10250730;2318-31
19616;10250778;2318-31
19623;10250556;2318-31
19631;;2318-20
19645;10250570;2318-31
19647;10250587;2318-31
19649;10250594;2318-31
19668;10250679;2318-31
19691;10250303;2318-31
19693;10250501;2318-31
19706;10250488;2318-31
19753;10250112;2318-31
19774;10250150;2318-31
19778;10250167;2318-31
19781;10219812;2316-11
19788;10225561;2316-10
19789;10225585;2316-10
19791;10250174;2318-31
19792;;2318-22
19799;10250075;2318-31
19800;10250051;2318-31
19828;10249802;2318-32
19838;10249451;2318-32
19839;10249253;2318-32
19840;10249291;2318-32
19841;10249345;2318-32
19843;10249086;2318-32
19844;10249680;2318-32
19845;10249666;2318-32
19846;10249673;2318-32
19847;10249659;2318-32
19848;10249062;2318-32
19849;10249208;2318-32
19850;10251973;2318-30
19851;10249499;2318-32
19853;10249628;2318-32
19854;10249154;2318-32
19855;10249123;2318-32
19856;10249161;2318-32
19857;10249420;2318-32
19858;10249406;2318-32
19860;10252505;2318-30
19869;10249611;2318-32
19870;10251997;2318-30
19871;10251980;2318-30
19872;10252024;2318-30
19875;10248898;2318-32
19879;10248911;2318-32
19880;10249765;2318-32
19888;10248928;2318-32
19931;10248492;2318-32
19933;10248577;2318-32
19939;10250396;2318-31
19960;;2318-20
19969;10248522;2318-32
19987;10248485;2318-32
20052;;2318-20
20053;;2318-20
20054;;2318-20
20100;10247938;2318-32
20105;10247976;2318-32
20107;10247969;2318-32
20108;10245897;2318-34
20110;10245958;2318-34
20114;10247983;2318-32
20115;;2318-20
20174;10245699;2318-34
20203;10220177;2316-11
20216;10219942;2316-11
20217;10219843;2316-11
20225;10248461;2318-32
20238;10250129;2318-31
20239;10250136;2318-31
20244;10225578;2316-10
20259;10042359;2316-08
20302;10249796;2318-32
20305;11338208;ПОДВАЛ 48а 6 полка
20308;10249369;2318-32
20309;10249598;2318-32
20311;10249048;2318-32
20312;10249079;2318-32
20313;10249260;2318-32
20314;10249574;2318-32
20315;10249444;2318-32
20316;10249277;2318-32
20317;10249512;2318-32
20343;10250945;2318-31
20352;10250952;2318-31
20374;10251249;2318-31
20421;;2312-35
20432;;2318-20
20451;10249536;2318-32
20552;10881644;Подвал-10а
20554;11400561;подвал-47Б
20563;11268499;Подвал - 48 а 3п СА
20700;11446668;Подвал 48 а 7п СА
21010;10514245;Подвал-03
21013;10803516;Подвал-09а
21187;11093343;№ подвал-44в
21191;10802175;подвал 22в
21200;;2316-15
21202;10214404;2312-16
21208;10044209;2316-06
21232;10477823;2318-39
21233;10250938;2318-31
21239;10044285;2316-06
21250;10631560;Подвал-39
21251;10252628;2318-30
21257;10044193;2316-06
21263;10044438;2316-06
21264;10477830;2318-39
21265;10043912;2316-06
21274;10044391;2316-06
21279;10044407;2316-06
21291;10833551;подвал-08б
21305;11635468;подвал-48В
21357;;2318-19
21416;11155324;Подвал-45а
21418;11231561;№ подвал-44в
21419;11155331;Подвал-45а
21437;11083672;Подвал-45а
21439;11231554;№ подвал-44в
21443;11231356;№ подвал-44в
21444;11191469;№ 2324–Выдано читателям
21447;11306665;подвал 45в
21450;11155300;Подвал-45а
21452;11155508;Подвал-45а
21453;11155348;Подвал-45а
21456;11168263;№ подвал-44в
21457;11168270;№ подвал-44в
21458;11301301;48 2 полка
21458;11301301;подвал 45в
21459;11132196;Подвал-46б
21461;11225065;подвал 45в
21462;11229810;Подвал-45б
21464;10915110;подвал 48 А 1 полка
21465;113125048;Подвал-46а
21466;11395317;Подвал-46а
21473;11229926;Подвал-45б
21476;11111351;Подвал-45б
21482;113125338;Подвал-46а
21486;11111344;Подвал-45б
21496;11329190;Подвал-46б(полки 3-5)
21499;11301325;48 2 полка
21499;11301325;подвал 45в
21500;11301318;48 2 полка
21500;11301318;подвал 45в
21501;11301295;48 2 полка
21501;11301295;подвал 45в
21505;11301332;48 2 полка
21505;11301332;подвал 45в
21518;11265702;Подвал - 48 а 3п СА
21518;11057307;Подвал-14в
21568;10022580;2324-14
21569;11301394;48 2 полка
21569;11301394;подвал 45в
21571;11135296;Подвал-6 в
21572;11224563;подвал 45в
21575;10918029;Подвал-46б
21579;10022559;2324-14
21583;11323044;Подвал-46а
21588;11248590;подвал 45в
21589;10917510;Подвал-46б
21599;11248606;подвал 45в
21600;11154112;Подвал-45а
21603;11154099;Подвал-45а
21604;10917442;Подвал-46б
21606;10917534;Подвал-46б
21608;11224549;подвал 45в
21610;11224532;подвал 45в
21611;11224525;подвал 45в
21612;11230281;Подвал-45б
21613;11224518;подвал 45в
21615;11225096;подвал 45в
21618;11248576;подвал 45в
21619;11248583;подвал 45в
21623;11229698;Подвал-45б
21624;11229797;Подвал-45б
21632;11111375;Подвал-45б
21633;11224556;подвал 45в
21635;113125314;Подвал-46а
21637;11230588;Подвал-45б
21644;11229742;Подвал-45б
21646;11229735;Подвал-45б
21649;11229728;Подвал-45б
21650;11134060;Подвал-6 в
21652;11229766;Подвал-45б
21654;11229834;Подвал-45б
21657;11230328;Подвал-45б
